District,Year,Offence Group,Total Number of Offences,Total Employed,Total Persons,Unemployed,Unemployment Rate (%)
Fremantle District,16,Common Assault (Family),1066.0,441626.0,474743.0,33117.0,7.5
Fremantle District,16,Common Assault (Non-Family),583.0,441626.0,474743.0,33117.0,7.5
Fremantle District,16,Criminal Damage,590.0,441626.0,474743.0,33117.0,7.5
Fremantle District,16,Cultivate or Manufacture Drugs,40.0,441626.0,474743.0,33117.0,7.5
Fremantle District,16,Damage,2483.0,441626.0,474743.0,33117.0,7.5
Fremantle District,16,Deprivation of Liberty,20.0,441626.0,474743.0,33117.0,7.5
Fremantle District,16,Driving Causing Death,0.0,441626.0,474743.0,33117.0,7.5
Fremantle District,16,Drug Dealing,215.0,441626.0,474743.0,33117.0,7.5
Fremantle District,16,Drug Possession,1433.0,441626.0,474743.0,33117.0,7.5
Fremantle District,16,Forgery,17.0,441626.0,474743.0,33117.0,7.5
Fremantle District,16,Fraud (Credit Card),0.0,441626.0,474743.0,33117.0,7.5
Fremantle District,16,Fraud (Not Elsewhere Classified),1887.0,441626.0,474743.0,33117.0,7.5
Fremantle District,16,Graffiti,109.0,441626.0,474743.0,33117.0,7.5
Fremantle District,16,Kidnapping / Child Stealing,1.0,441626.0,474743.0,33117.0,7.5
Fremantle District,16,Manslaughter,1.0,441626.0,474743.0,33117.0,7.5
Fremantle District,16,Murder,4.0,441626.0,474743.0,33117.0,7.5
Fremantle District,16,Non-Assaultive Sexual Offences,110.0,441626.0,474743.0,33117.0,7.5
Fremantle District,16,Other Drug Offences,22.0,441626.0,474743.0,33117.0,7.5
Fremantle District,16,Other Fire Related Offences,2.0,441626.0,474743.0,33117.0,7.5
Fremantle District,16,Possess Stolen Property,379.0,441626.0,474743.0,33117.0,7.5
Fremantle District,16,Possess Weapon to Cause Fear (Family),47.0,441626.0,474743.0,33117.0,7.5
Fremantle District,16,Possess Weapon to Cause Fear (Non-Family),135.0,441626.0,474743.0,33117.0,7.5
Fremantle District,16,Possession of Drug Paraphernalia,1011.0,441626.0,474743.0,33117.0,7.5
Fremantle District,16,Receiving Stolen Property,67.0,441626.0,474743.0,33117.0,7.5
Fremantle District,16,Regulated Weapons Offences,406.0,441626.0,474743.0,33117.0,7.5
Fremantle District,16,Robbery (Business),20.0,441626.0,474743.0,33117.0,7.5
Fremantle District,16,Robbery (Non-Business),118.0,441626.0,474743.0,33117.0,7.5
Fremantle District,16,Serious Assault (Family),207.0,441626.0,474743.0,33117.0,7.5
Fremantle District,16,Serious Assault (Non-Family),283.0,441626.0,474743.0,33117.0,7.5
Fremantle District,16,Sexual Assault,237.0,441626.0,474743.0,33117.0,7.5
Fremantle District,16,Stealing (Not Elsewhere Classified),10556.0,441626.0,474743.0,33117.0,7.5
Fremantle District,16,Stealing From Dwelling,0.0,441626.0,474743.0,33117.0,7.5
Fremantle District,16,Stealing From Motor Vehicle (Contents or Parts),0.0,441626.0,474743.0,33117.0,7.5
Fremantle District,16,Stealing From Other Premises or Place,0.0,441626.0,474743.0,33117.0,7.5
Fremantle District,16,Stealing From Retail Premises (Shoplift),0.0,441626.0,474743.0,33117.0,7.5
Fremantle District,16,Stealing as a Servant,23.0,441626.0,474743.0,33117.0,7.5
Fremantle District,16,Stealing of Motor Vehicle,733.0,441626.0,474743.0,33117.0,7.5
Fremantle District,16,Threatening Behaviour (Family),166.0,441626.0,474743.0,33117.0,7.5
Fremantle District,16,Threatening Behaviour (Non-Family),162.0,441626.0,474743.0,33117.0,7.5
